IC50 (Î¼M),CHEMBL ID 
0.4,CHEMBL461939
0.8,CHEMBL461940
1.4,CHEMBL461375
1.5,CHEMBL460075
1.5,CHEMBL461759
2.6,CHEMBL461941
5,CHEMBL461381
5,CHEMBL450222
7,CHEMBL461575
7,CHEMBL518808
8,CHEMBL461576
,
9,CHEMBL513068
9,CHEMBL472190
11,CHEMBL472191
12,CHEMBL513075
13,CHEMBL472192
14,CHEMBL513072
14,CHEMBL472354
15,CHEMBL472355
15,CHEMBL512017
15,CHEMBL511818
18,CHEMBL512539
19,CHEMBL472528
20,CHEMBL470100
20,CHEMBL470101
24,CHEMBL513552
25,CHEMBL488016
28,CHEMBL520739
28,CHEMBL486671
29,CHEMBL486672
30,CHEMBL521207
50,CHEMBL487833
Inactive,CHEMBL519082
Inactive,CHEMBL487834
Inactive,CHEMBL488521
Inactive,CHEMBL488522
Inactive,
Inactive,
Inactive,CHEMBL488700
Inactive,CHEMBL486836
Inactive,CHEMBL488660
Inactive,
1.4,CHEMBL488824
17,CHEMBL527432
36,CHEMBL488825
7,CHEMBL487654
9,CHEMBL451804
11,CHEMBL451805
25,CHEMBL509100
27,CHEMBL452564
27,CHEMBL452565
28,CHEMBL451791
32,CHEMBL452052